Scale (CHOP-INTEND or HFMSE),Cohort_ID,Study_ID,Treatment_Sequence,Sample_Size(N),Age_Mean,Age_SD,Baseline_Mean,Baseline_SD,Followup_Time_Months,Change_Mean,Change_SD
HFMSE,A,HFMSE_NZ_Trial1,N>Z,21,37,23.65,33.5,10.06,6,6.75,1.85
HFMSE,B,HFMSE_NR_Trial2,N>R,22,140.76,84.24,18,31.01,12,1.5,3.38
HFMSE,C,HFMSE_NR_Trial2,N>R,15,140.76,84.24,18,24.83,24,0,4.97
HFMSE,D,HFMSE_NR_Trial3,N>R,4,136.8,51.6,54.8,10.2,6,0.2,4.56
HFMSE,E,HFMSE_NR_Trial3,N>R,4,136.8,51.6,54.8,10.2,12,0.7,4.93
HFMSE,F,HFMSE_NR_Trial4,N>R,59,255,153.5,12.13,8.73,12,-0.27,3.38
HFMSE,G,HFMSE_NR_Trial4,N>R,56,255,154.82,12.13,8.5,24,-1.21,5.88
HFMSE,H,HFMSE_ZR_Trial5,Z>R,9,30,16.07,12.13,2.96,12,4.67,4.24
HFMSE,I,HFMSE_ZR_Trial5,Z>R,9,30,16.07,12.13,2.96,24,7.11,4.14
